GO:0070935	3'-UTR-mediated mRNA stabilization
GO:0042791	5S class rRNA transcription from RNA polymerase III type 1 promoter
GO:0031672^OBO_REL:part_of(TAO:0009316)	A band of cardiac muscle cell
GO:0031672^OBO_REL:part_of(TAO:0009115)	A band of skeletal muscle cell
TAO:0009142^OBO_REL:part_of(TAO:0000669)	B cell of head kidney
GO:0030509	BMP signaling pathway
GO:0060803	BMP signaling pathway involved in mesodermal cell fate specification
TAO:0009243	CAP motoneuron
TAO:0009243^OBO_REL:part_of(TAO:0001056)	CAP motoneuron of myotome
TAO:0009191	CNS interneuron
TAO:0009191^OBO_REL:part_of(TAO:0000075)	CNS interneuron of spinal cord
TAO:0009067	CNS neuron (sensu Vertebrata)
TAO:0000145	CNS tracts and commissures
TAO:0000145^OBO_REL:part_of(TAO:0000008)	CNS tracts and commissures of brain
TAO:0000145^OBO_REL:part_of(TAO:0000075)	CNS tracts and commissures of spinal cord
GO:0015030^OBO_REL:part_of(CARO:0000013)	Cajal body of cell
GO:0030576	Cajal body organization
TAO:0005233	CiD
TAO:0005176	CoSA
TAO:0009228	D cell
TAO:0000711	DEL
TAO:0000711^OBO_REL:part_of(TAO:0001094)	DEL of body
GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest
GO:0042771	DNA damage response, signal transduction by p53 class mediator resulting in induction of apoptosis
GO:0008630	DNA damage response, signal transduction resulting in induction of apoptosis
GO:0080111	DNA demethylation
GO:0006309	DNA fragmentation involved in apoptotic nuclear change
GO:0044028	DNA hypomethylation
GO:0006306	DNA methylation
GO:0032776	DNA methylation on cytosine
GO:0010424	DNA methylation on cytosine within a CG sequence
GO:0006260	DNA replication
GO:0000076	DNA replication checkpoint
TAO:0005178	DoLA
TAO:0000309	E-YSL
GO:0006888	ER to Golgi vesicle-mediated transport
TAO:0000086	EVL
TAO:0000086^OBO_REL:part_of(TAO:0001094)	EVL of body
GO:0000080	G1 phase of mitotic cell cycle
GO:0000082	G1/S transition of mitotic cell cycle
GO:0031572	G2/M transition DNA damage checkpoint
GO:0000086	G2/M transition of mitotic cell cycle
GO:0097154	GABAergic neuron differentiation
TAO:0009276^OBO_REL:part_of(TAO:0001256)	GABAergic neuron of lateral floor plate
TAO:0009276^OBO_REL:part_of(TAO:0000402)	GABAergic neuron of olfactory bulb
TAO:0009276^OBO_REL:part_of(TAO:0000152)	GABAergic neuron of retina
TAO:0009276^OBO_REL:part_of(TAO:0000075)	GABAergic neuron of spinal cord
GO:0036156^OBO_REL:part_of(TAO:0009032)	GO:0036156 of ciliated cell
GO:0036156^OBO_REL:part_of(TAO:0000150)	GO:0036156 of pronephric duct
GO:0036157^OBO_REL:part_of(TAO:0009032)	GO:0036157 of ciliated cell
GO:0036157^OBO_REL:part_of(TAO:0000150)	GO:0036157 of pronephric duct
GO:0036268	GO:0036268
GO:0036269	GO:0036269
GO:0036302	GO:0036302
GO:0036306	GO:0036306
GO:0036342	GO:0036342
GO:0061468^OBO_REL:part_of(TAO:0000093)	GO:0061468 of blastomere
GO:0061472	GO:0061472
GO:0090497	GO:0090497
GO:0090504	GO:0090504
GO:0097324	GO:0097324
GO:0097401	GO:0097401
GO:1901270	GO:1901270
GO:0006183	GTP biosynthetic process
GO:0003924	GTPase activity
GO:0005794^OBO_REL:part_of(CL:0000138)	Golgi apparatus of chondrocyte
GO:0005794^OBO_REL:part_of(TAO:0009269)	Golgi apparatus of enterocyte
GO:0005794^OBO_REL:part_of(TAO:0009154)	Golgi apparatus of eye photoreceptor cell
GO:0005794^OBO_REL:part_of(TAO:0009114)	Golgi apparatus of muscle cell
GO:0005794^OBO_REL:part_of(VSAO:0000032)	Golgi apparatus of notochord
GO:0005795^OBO_REL:part_of(TAO:0009269)	Golgi stack of enterocyte
GO:0031673^OBO_REL:part_of(TAO:0009316)	H zone of cardiac muscle cell
GO:0031673^OBO_REL:part_of(TAO:0009115)	H zone of skeletal muscle cell
GO:0031674^OBO_REL:part_of(TAO:0009316)	I band of cardiac muscle cell
GO:0031674^OBO_REL:part_of(TAO:0005277)	I band of skeletal muscle
GO:0031674^OBO_REL:part_of(TAO:0009115)	I band of skeletal muscle cell
GO:0007254	JNK cascade
TAO:0005240^OBO_REL:part_of(TAO:0001256)	Kolmer-Agduhr neuron of lateral floor plate
TAO:0005240^OBO_REL:part_of(TAO:0000075)	Kolmer-Agduhr neuron of spinal cord
TAO:0000001	Kupffer's vesicle
GO:0070121	Kupffer's vesicle development
TAO:0009108	Leydig cell
GO:0031430^OBO_REL:part_of(TAO:0001056)	M band of myotome
GO:0031430^OBO_REL:part_of(TAO:0005277)	M band of skeletal muscle
GO:0031430^OBO_REL:part_of(TAO:0009115)	M band of skeletal muscle cell
GO:0000279	M phase
GO:0000087	M phase of mitotic cell cycle
GO:0000216	M/G1 transition of mitotic cell cycle
GO:0004707	MAP kinase activity
MPATH:218^OBO_REL:part_of(TAO:0000107)	MPATH:218 of eye
MPATH:218^OBO_REL:part_of(TAO:0001967)	MPATH:218 of orbit
MPATH:310^OBO_REL:part_of(TAO:0000598)	MPATH:310 of testis
MPATH:317^OBO_REL:part_of(TAO:0000598)	MPATH:317 of testis
MPATH:359^OBO_REL:part_of(TAO:0009091)	MPATH:359 of melanocyte
MPATH:435^OBO_REL:part_of(TAO:0001094)	MPATH:435 of body
MPATH:437^OBO_REL:part_of(TAO:0000142)	MPATH:437 of peripheral nervous system
MPATH:513^OBO_REL:part_of(TAO:0001094)	MPATH:513 of body
TAO:0009149	Mauthner neuron
TAO:0009149^OBO_REL:part_of(TAO:0000029)	Mauthner neuron of hindbrain
TAO:0001205	Meckel's cartilage
TAO:0005179	MiP motor neuron
GO:0006777	Mo-molybdopterin cofactor biosynthetic process
TAO:0009280	Muller cell
TAO:0005326	NaK ionocyte
GO:0007219	Notch signaling pathway
TAO:0009320	OFF-bipolar cell
TAO:0009319	ON-bipolar cell
GO:0043186^OBO_REL:part_of(TAO:0009288)	P granule of primordial germ cell
TAO:0009071	Purkinje cell
TAO:0009071^OBO_REL:part_of(TAO:0000100)	Purkinje cell of cerebellum
TAO:0009071^OBO_REL:part_of(TAO:0000029)	Purkinje cell of hindbrain
GO:0071076	RNA 3' uridylation
TAO:0005198	RoL2
TAO:0005198^OBO_REL:part_of(TAO:0001032)	RoL2 of rhombomere 4
TAO:0009150	Rohon-Beard neuron
TAO:0009150^OBO_REL:part_of(TAO:0001135)	Rohon-Beard neuron of neural tube
TAO:0009150^OBO_REL:part_of(TAO:0000075)	Rohon-Beard neuron of spinal cord
GO:0051320	S phase
GO:0000084	S phase of mitotic cell cycle
TAO:0009135	Schwann cell
GO:0014044	Schwann cell development
GO:0014037	Schwann cell differentiation
GO:0036135	Schwann cell migration
TAO:0009135^OBO_REL:part_of(TAO:0000034)	Schwann cell of lateral line system
TAO:0009135^OBO_REL:part_of(TAO:0000175)	Schwann cell of posterior lateral line nerve
GO:0014010	Schwann cell proliferation
TAO:0009133	Sertoli cell
TAO:0009046	T cell
GO:0070231	T cell apoptosis
GO:0030217	T cell differentiation
GO:0033077	T cell differentiation in thymus
TAO:0009046^OBO_REL:part_of(TAO:0000669)	T cell of head kidney
TAO:0009046^OBO_REL:part_of(TAO:0001078)	T cell of thymus
GO:0030315^OBO_REL:part_of(TAO:0009117)	T-tubule of fast muscle cell
GO:0030315^OBO_REL:part_of(TAO:0005145)	T-tubule of muscle
GO:0030315^OBO_REL:part_of(TAO:0001056)	T-tubule of myotome
GO:0030315^OBO_REL:part_of(TAO:0009115)	T-tubule of skeletal muscle cell
GO:0033292	T-tubule organization
GO:0031929	TOR signaling cascade
GO:0005685^OBO_REL:part_of(TAO:0001094)	U1 snRNP of body
GO:0005688^OBO_REL:part_of(TAO:0001094)	U6 snRNP of body
TAO:0009221	UV sensitive photoreceptor cell
TAO:0005177	VeLD
TAO:0001188	Weberian apparatus
TAO:0001190	Weberian vertebra
GO:0061355	Wnt protein secretion
GO:0016055	Wnt receptor signaling pathway
GO:0021881	Wnt receptor signaling pathway involved in forebrain neuron fate commitment
GO:0007223	Wnt receptor signaling pathway, calcium modulating pathway
GO:0060071	Wnt receptor signaling pathway, planar cell polarity pathway
TAO:0000088	YSL
TAO:0000088^OBO_REL:part_of(TAO:0001094)	YSL of body
GO:0030018^OBO_REL:part_of(TAO:0005280)	Z disc of cardiac muscle
GO:0030018^OBO_REL:part_of(TAO:0009316)	Z disc of cardiac muscle cell
GO:0030018^OBO_REL:part_of(TAO:0000009)	Z disc of cardiac ventricle
GO:0030018^OBO_REL:part_of(TAO:0000114)	Z disc of heart
GO:0030018^OBO_REL:part_of(TAO:0005145)	Z disc of muscle
GO:0030018^OBO_REL:part_of(TAO:0001056)	Z disc of myotome
GO:0030018^OBO_REL:part_of(TAO:0005277)	Z disc of skeletal muscle
GO:0030018^OBO_REL:part_of(TAO:0009115)	Z disc of skeletal muscle cell
GO:0030018^OBO_REL:part_of(TAO:0009116)	Z disc of slow muscle cell
ZFA:0005633^OBO_REL:part_of(TAO:0001269)	ZFA:0005633 of regenerating fin
TAO:0000713	abducens motor nucleus
GO:0021560	abducens nerve development
TAO:0000462	abductor hyohyoid
GO:0015464	acetylcholine receptor activity
GO:0051630	acetylcholine uptake
GO:0005892^OBO_REL:part_of(TAO:0009114)	acetylcholine-gated channel complex of muscle cell
GO:0005892^OBO_REL:part_of(TAO:0005277)	acetylcholine-gated channel complex of skeletal muscle
GO:0005892^OBO_REL:part_of(TAO:0000473)	acetylcholine-gated channel complex of trunk musculature
GO:0003990	acetylcholinesterase activity
TAO:0009277	acinar cell
GO:0003779	actin binding
GO:0015629^OBO_REL:part_of(TAO:0000086)	actin cytoskeleton of EVL
GO:0015629^OBO_REL:part_of(TAO:0000088)	actin cytoskeleton of YSL
GO:0015629^OBO_REL:part_of(TAO:0000105)	actin cytoskeleton of epidermis
GO:0015629^OBO_REL:part_of(TAO:0000150)	actin cytoskeleton of pronephric duct
GO:0015629^OBO_REL:part_of(TAO:0009115)	actin cytoskeleton of skeletal muscle cell
GO:0015629^OBO_REL:part_of(TAO:0000155)	actin cytoskeleton of somite
GO:0030036	actin cytoskeleton organization
GO:0070650	actin filament bundle distribution
GO:0032432^OBO_REL:part_of(TAO:0009316)	actin filament bundle of cardiac muscle cell
GO:0032432^OBO_REL:part_of(TAO:0009139)	actin filament bundle of endodermal cell
GO:0032432^OBO_REL:part_of(TAO:0000121)	actin filament bundle of lateral plate mesoderm
GO:0032432^OBO_REL:part_of(TAO:0000473)	actin filament bundle of trunk musculature
GO:0005884^OBO_REL:part_of(TAO:0000086)	actin filament of EVL
GO:0005884^OBO_REL:part_of(TAO:0000088)	actin filament of YSL
GO:0005884^OBO_REL:part_of(TAO:0001094)	actin filament of body
GO:0005884^OBO_REL:part_of(CL:0000138)	actin filament of chondrocyte
GO:0005884^OBO_REL:part_of(TAO:0009117)	actin filament of fast muscle cell
GO:0005884^OBO_REL:part_of(TAO:0000035)	actin filament of lens
GO:0005884^OBO_REL:part_of(TAO:0005145)	actin filament of muscle
GO:0005884^OBO_REL:part_of(TAO:0001056)	actin filament of myotome
GO:0005884^OBO_REL:part_of(TAO:0005277)	actin filament of skeletal muscle
GO:0005884^OBO_REL:part_of(TAO:0009116)	actin filament of slow muscle cell
GO:0007015	actin filament organization
GO:0030041	actin filament polymerization
GO:0033275	actin-myosin filament sliding
TAO:0000089	actinotrichium
TAO:0000089^OBO_REL:part_of(VSAO:0000172)	actinotrichium of lepidotrichium
TAO:0000089^OBO_REL:part_of(TAO:0000040)	actinotrichium of median fin fold
TAO:0000089^OBO_REL:part_of(TAO:0001269)	actinotrichium of regenerating fin
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process
TAO:0000003	adaxial cell
TAO:0000003^OBO_REL:part_of(TAO:0000255)	adaxial cell of paraxial mesoderm
TAO:0000003^OBO_REL:part_of(TAO:0000155)	adaxial cell of somite
TAO:0000715	adductor hyohyoid
TAO:0000465	adductor operculi
TAO:0001198	adenohypophyseal placode
TAO:0001282	adenohypophysis
GO:0021984	adenohypophysis development
GO:0048855	adenohypophysis morphogenesis
GO:0034334	adherens junction maintenance
GO:0005912^OBO_REL:part_of(TAO:0000711)	adherens junction of DEL
GO:0005912^OBO_REL:part_of(TAO:0000086)	adherens junction of EVL
GO:0005912^OBO_REL:part_of(TAO:0005257)	adherens junction of blood vessel endothelium
GO:0005912^OBO_REL:part_of(TAO:0000114)	adherens junction of heart
GO:0005912^OBO_REL:part_of(TAO:0001071)	adherens junction of presumptive retina
GO:0005912^OBO_REL:part_of(TAO:0000152)	adherens junction of retina
GO:0030325	adrenal gland development
TAO:0009061^OBO_REL:part_of(TAO:0000633)	adrenergic neuron of caudal tuberculum
TAO:0009061^OBO_REL:part_of(TAO:0000012)	adrenergic neuron of central nervous system
TAO:0009061^OBO_REL:part_of(TAO:0000109)	adrenergic neuron of forebrain
TAO:0009061^OBO_REL:part_of(TAO:0000539)	adrenergic neuron of locus coeruleus
TAO:0009061^OBO_REL:part_of(TAO:0000545)	adrenergic neuron of medulla oblongata
TAO:0009061^OBO_REL:part_of(TAO:0000402)	adrenergic neuron of olfactory bulb
TAO:0009061^OBO_REL:part_of(TAO:0000470)	adrenergic neuron of preoptic area
TAO:0009061^OBO_REL:part_of(TAO:0000418)	adrenergic neuron of pretectum
TAO:0009216	adrenocorticotropic hormone secreting cell
TAO:0009216^OBO_REL:part_of(TAO:0000012)	adrenocorticotropic hormone secreting cell of central nervous system
GO:0008344	adult locomotory behavior
GO:0009060	aerobic respiration
GO:0048933	afferent axon development in posterior lateral line nerve
TAO:0001357	alar plate midbrain
GO:0004035	alkaline phosphatase activity
GO:0004035^OBO_REL:part_of(TAO:0000014)	alkaline phosphatase activity of dorsal aorta
GO:0046921	alpha-(1->6)-fucosyltransferase activity
GO:0071929	alpha-tubulin acetylation
GO:0000380	alternative nuclear mRNA splicing, via spliceosome
TAO:0009255	amacrine cell
GO:0035881	amacrine cell differentiation
GO:0015696	ammonium transport
GO:0042982	amyloid precursor protein metabolic process
VSAO:0000163	anal fin
TAO:0000646	anal fin distal radial
VSAO:0000176	anal fin lepidotrichium
TAO:0000268	anal fin proximal radial
BSPO:0000010^OBO_REL:part_of(TAO:0001094)	anatomical axis of body
BSPO:0000010^OBO_REL:part_of(TAO:0001115)	anatomical axis of trunk
BSPO:0000092^OBO_REL:part_of(TAO:0000114)	anatomical compartment boundary of heart
BSPO:0000092^OBO_REL:part_of(TAO:0000155)	anatomical compartment boundary of somite
BSPO:0000006^OBO_REL:part_of(TAO:0000086)	anatomical margin of EVL
BSPO:0000070^OBO_REL:part_of(TAO:0000066)	anatomical region of proctodeum
BSPO:0000005^OBO_REL:part_of(TAO:0001094)	anatomical surface of body
BSPO:0000005^OBO_REL:part_of(TAO:0000640)	anatomical surface of cornea
CARO:0000011	anatomical system
GO:0035779	angioblast cell differentiation
GO:0035476	angioblast cell migration
GO:0035479	angioblast cell migration from lateral mesoderm to midline
TAO:0009258	angioblastic mesenchymal cell
TAO:0009258^OBO_REL:part_of(TAO:0005077)	angioblastic mesenchymal cell of vascular cord
GO:0001525	angiogenesis
ZFA:0005604	angiogenic sprout
ZFA:0005604^OBO_REL:part_of(TAO:0001061)	angiogenic sprout of intersegmental artery
GO:0060006	angular vestibuloocular reflex
TAO:0000618	ansulate commissure
TAO:0000004	anterior axial hypoblast
TAO:0000423	anterior cardinal vein
TAO:0002144	anterior catecholaminergic tract
TAO:0000578	anterior ceratohyal
TAO:0001067	anterior cerebral vein
TAO:0001277	anterior chamber swim bladder
TAO:0001108	anterior commissure
GO:0021960	anterior commissure morphogenesis
BSPO:0000087^OBO_REL:part_of(TAO:0001128)	anterior compartment of pharyngeal pouch 1
TAO:0000619	anterior crista
TAO:0000468	anterior crista primordium
TAO:0001472	anterior lateral line neuromast
TAO:0001316	anterior lateral line placode
TAO:0005039	anterior lateral mesoderm
TAO:0005041	anterior lateral plate mesoderm
TAO:0000168	anterior macula
TAO:0005052	anterior mesencephalic central artery
TAO:0007024	anterior neural keel
TAO:0007016	anterior neural plate
TAO:0001369	anterior pancreatic bud
